index	gene
1478	CEP192
1479	CEP250
1480	CEP290
1481	CEP295
1482	CEP350
1483	CEP41
1484	CEP55
1485	CEP57
1486	CEP70
1487	CEP72
1488	CEP76
1489	CEP78
1490	CEP89
1491	CEP97
1492	CEPT1
1493	CER1
1494	CERK
1495	CERS2
1496	CERS3
1497	CERS4
1498	CERS5
1499	CERS6
1500	CES1
1501	CES4A
1502	CETN1
1503	CETN2
1504	CETN3
1505	CETP
1506	CFAP45
1507	CFAP52
1508	CFB
1509	CFD
1510	CFH
1511	CFHR1
1512	CFHR2
1513	CFHR3
1514	CFHR4
1515	CFHR5
1516	CFI
1517	CFL1
1518	CFL2
1519	CFLAR
1520	CFP
1521	CFTR
1522	CGA
1523	CGGBP1
1524	CGN
1525	CGNL1
1526	CH25H
1527	CHAF1A
1528	CHAF1B
1529	CHAMP1
1530	CHAT
1531	CHCHD1
1532	CHCHD10
1533	CHCHD2
1534	CHCHD3
1535	CHCHD4
1536	CHCHD7
1537	CHD1
1538	CHD1L
1539	CHD3
1540	CHD4
1541	CHD5
1542	CHD7
1543	CHD9
1544	CHDH
1545	CHEK1
1546	CHEK2
1547	CHERP
1548	CHFR
1549	CHGA
1550	CHGB
1551	CHI3L1
1552	CHIA
1553	CHID1
1554	CHIT1
1555	CHKA
1556	CHKB
1557	CHL1
1558	CHM
1559	CHML
1560	CHMP1A
1561	CHMP1B
1562	CHMP2A
1563	CHMP2B
1564	CHMP4A
1565	CHMP4B
1566	CHMP4C
1567	CHMP5
1568	CHMP6
1569	CHMP7
1570	CHN1
1571	CHN2
1572	CHP1
1573	CHP2
1574	CHPF
1575	CHPF2
1576	CHPT1
1577	CHRAC1
1578	CHRD
1579	CHRDL1
1580	CHRDL2
1581	CHRM1
1582	CHRM2
1583	CHRM3
1584	CHRM4
1585	CHRM5
1586	CHRNA1
1587	CHRNA2
1588	CHRNA3
1589	CHRNA4
1590	CHRNA5
1591	CHRNA7
1592	CHRNA9
1593	CHRNB1
1594	CHRNB2
1595	CHRNB3
1596	CHRNB4
1597	CHRND
1598	CHST1
1599	CHST10
1600	CHST11
1601	CHST12
1602	CHST13
1603	CHST14
1604	CHST15
1605	CHST3
1606	CHST4
1607	CHST6
1608	CHST7
1609	CHST8
1610	CHSY1
1611	CHSY3
1612	CHTF18
1613	CHTF8
1614	CHTOP
1615	CHUK
1616	CIAO1
1617	CIAPIN1
1618	CIB1
1619	CIC
1620	CIDEA
1621	CIDEB
1622	CIDEC
1623	CIITA
1624	CILP
1625	CINP
1626	CIR1
1627	CIRBP
1628	CISD1
1629	CISD2
1630	CISD3
1631	CIT
1632	CITED1
1633	CITED2
1634	CITED4
1635	CKAP2
1636	CKAP2L
1637	CKAP4
1638	CKAP5
1639	CKB
1640	CKLF
1641	CKM
1642	CKMT1A
1643	CKMT1B
1644	CKMT2
1645	CKS1B
1646	CLASP1
1647	CLASP2
1648	CLCA1
1649	CLCA2
1650	CLCA4
1651	CLCF1
1652	CLCN6
1653	CLCN7
1654	CLDN1
1655	CLDN10
1656	CLDN11
1657	CLDN14
1658	CLDN15
1659	CLDN16
1660	CLDN17
1661	CLDN18
1662	CLDN19
1663	CLDN2
1664	CLDN22
1665	CLDN23
1666	CLDN3
1667	CLDN4
1668	CLDN5
1669	CLDN6
1670	CLDN7
1671	CLDN8
1672	CLDN9
1673	CLEC10A
1674	CLEC12A
1675	CLEC14A
1676	CLEC1B
1677	CLEC2A
1678	CLEC2D
1679	CLEC3B
1680	CLEC4C
1681	CLEC4D
1682	CLEC4E
1683	CLEC4G
1684	CLEC4M
1685	CLEC5A
1686	CLEC6A
1687	CLEC7A
1688	CLGN
1689	CLIC1
1690	CLIC2
1691	CLIC3
1692	CLIC4
